,
,
count,
Grape___healthy,1692
Tomato___Target_Spot,1827
Apple___Cedar_apple_rust,1760
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1642
Soybean___healthy,2022
Corn_(maize)___Common_rust_,1907
Potato___Early_blight,1939
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1961
Cherry_(including_sour)___healthy,1826
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1722
Apple___Apple_scab,2016
Orange___Haunglongbing_(Citrus_greening),2010
Corn_(maize)___healthy,1859
Tomato___Tomato_mosaic_virus,1790
Peach___healthy,1728
Grape___Black_rot,1888
"Pepper,_bell___Bacterial_spot",1913
Blueberry___healthy,1816
Cherry_(including_sour)___Powdery_mildew,1683
Potato___healthy,1824
Corn_(maize)___Northern_Leaf_Blight,1908
Strawberry___healthy,1824
Tomato___Late_blight,1851
Tomato___Septoria_leaf_spot,1745
Tomato___Bacterial_spot,1702
Apple___Black_rot,1987
Tomato___Leaf_Mold,1882
Raspberry___healthy,1781
Tomato___healthy,1926
"Pepper,_bell___healthy",1988
Strawberry___Leaf_scorch,1774
Tomato___Spider_mites Two-spotted_spider_mite,1741
Grape___Esca_(Black_Measles),1920
Peach___Bacterial_spot,1838
Squash___Powdery_mildew,1736
Tomato___Early_blight,1920
Potato___Late_blight,1939
Apple___healthy,2008
